epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,282.723,0.55371,0.65882,0.65633,0.88373,0,0.98106,0.92961,0.99016,0.86672,0.98106,0.92961,0.99016,0.8692,0.49458,0.62427,0.52773,0.8488,0,0.00122141,0.00122141,0.00122141
29,292.233,0.55417,0.68843,0.62116,0.88399,0,0.9711,0.95201,0.99431,0.8891,0.9711,0.95201,0.99431,0.88414,0.47813,0.62225,0.52125,0.84866,0,0.00120491,0.00120491,0.00120491
30,301.781,0.53744,0.6878,0.62277,0.88866,0,0.97764,0.95544,0.99417,0.89297,0.97764,0.95544,0.99417,0.88752,0.45586,0.62119,0.5159,0.84465,0,0.0011884,0.0011884,0.0011884
31,311.24,0.5608,0.69769,0.62558,0.8998,0,0.95505,0.98932,0.99389,0.89601,0.95505,0.98932,0.99389,0.86328,0.46399,0.62619,0.49634,0.84349,0,0.0011719,0.0011719,0.0011719
32,320.695,0.57599,0.76907,0.6141,0.89514,0,0.9803,0.99445,0.99417,0.91105,0.9803,0.99445,0.99417,0.8808,0.46916,0.60424,0.49616,0.84479,0,0.0011554,0.0011554,0.0011554
33,330.122,0.54435,0.67694,0.59753,0.8942,0,0.99114,1,0.99448,0.89793,0.99114,1,0.99448,0.87459,0.45739,0.56346,0.49313,0.84852,0,0.00113889,0.00113889,0.00113889
34,339.516,0.53019,0.63912,0.59643,0.88603,0,0.9939,0.99552,0.99459,0.90684,0.9939,0.99552,0.99459,0.87811,0.42139,0.55649,0.48681,0.83845,0,0.00112239,0.00112239,0.00112239
35,349.009,0.51723,0.66348,0.56035,0.87927,0,0.9898,0.99487,0.99445,0.90483,0.9898,0.99487,0.99445,0.88856,0.45188,0.56064,0.47677,0.83183,0,0.00110589,0.00110589,0.00110589
36,358.508,0.51904,0.60254,0.57615,0.87679,0,0.99038,0.99685,0.99448,0.91163,0.99038,0.99685,0.99448,0.87455,0.43125,0.57712,0.45969,0.82892,0,0.00108938,0.00108938,0.00108938
37,368.011,0.48795,0.57591,0.54074,0.87448,0,0.99005,0.99749,0.99449,0.90447,0.99005,0.99749,0.99449,0.86305,0.40724,0.55292,0.4452,0.82957,0,0.00107288,0.00107288,0.00107288
